,date,open,close,high,low,volume,code
2533,2017-11-06,62.845,62.185,62.855,61.126,908570.0,601318
2534,2017-11-07,62.467,63.506,64.672,62.467,1173565.0,601318
2535,2017-11-08,63.535,62.768,64.458,62.486,867820.0,601318
2536,2017-11-09,62.661,64.439,64.497,62.564,708669.0,601318
2537,2017-11-10,64.118,67.897,67.956,64.05,1254060.0,601318
2538,2017-11-13,68.101,68.15,68.558,67.499,752207.0,601318
2539,2017-11-14,68.674,68.412,69.257,67.781,801748.0,601318
2540,2017-11-15,67.985,67.227,68.422,66.634,1009459.0,601318
2541,2017-11-16,66.838,70.928,71.025,66.79,1163764.0,601318
2542,2017-11-17,70.627,73.124,73.172,69.753,1580393.0,601318
2543,2017-11-20,72.648,73.551,74.309,71.958,1141281.0,601318
2544,2017-11-21,72.988,76.203,77.408,72.988,1445569.0,601318
2545,2017-11-22,77.233,75.242,77.68,74.396,1293487.0,601318
2546,2017-11-23,74.416,72.201,76.203,71.599,1576210.0,601318
2547,2017-11-24,72.036,72.492,73.308,70.637,1317843.0,601318
2548,2017-11-27,72.57,71.453,72.764,69.51,1637232.0,601318
2549,2017-11-28,70.627,70.656,71.443,69.83,786469.0,601318
2550,2017-11-29,71.443,70.355,72.075,69.228,875004.0,601318
2551,2017-11-30,69.335,67.926,69.626,67.567,1163733.0,601318
2552,2017-12-01,67.664,66.158,68.179,65.974,1393046.0,601318
2553,2017-12-04,65.673,67.411,68.344,65.449,1159283.0,601318
2554,2017-12-05,66.935,69.17,69.461,66.819,1692539.0,601318
2555,2017-12-06,68.878,67.421,69.073,66.061,1245607.0,601318
2556,2017-12-07,67.373,66.683,67.819,65.673,859703.0,601318
2557,2017-12-08,66.974,69.452,69.811,66.702,1095632.0,601318
2558,2017-12-11,69.17,71.161,71.22,68.801,1139927.0,601318
2559,2017-12-12,71.161,69.18,71.463,69.141,777900.0,601318
2560,2017-12-13,69.18,70.064,70.549,68.198,865117.0,601318
2561,2017-12-14,70.064,68.985,70.102,68.587,676186.0,601318
2562,2017-12-15,68.674,68.373,69.403,68.053,735547.0,601318
2563,2017-12-18,68.208,68.655,69.879,68.208,679116.0,601318
2564,2017-12-19,68.888,71.482,71.531,68.694,1270583.0,601318
2565,2017-12-20,71.395,71.832,72.463,70.996,939382.0,601318
2566,2017-12-21,71.54,72.774,73.425,71.123,934707.0,601318
2567,2017-12-22,72.667,71.909,73.056,71.531,719526.0,601318
2568,2017-12-25,71.948,72.045,73.998,71.278,1109978.0,601318
2569,2017-12-26,71.997,71.832,72.434,70.802,832289.0,601318
2570,2017-12-27,71.356,68.344,71.356,68.024,1506834.0,601318
2571,2017-12-28,68.296,68.577,69.384,67.683,1130886.0,601318
2572,2017-12-29,69.063,67.985,69.49,67.518,1040018.0,601318
2573,2018-01-02,68.208,70.52,70.724,68.179,1236163.0,601318
2574,2018-01-03,71.307,68.946,71.793,68.111,1794054.0,601318
2575,2018-01-04,68.995,69.15,70.141,68.538,1061157.0,601318
2576,2018-01-05,69.549,68.869,69.83,68.441,772075.0,601318
2577,2018-01-08,68.772,68.014,68.772,67.343,1228729.0,601318
2578,2018-01-09,68.296,69.821,70.025,68.033,1239491.0,601318
2579,2018-01-10,69.558,69.675,69.821,68.694,828123.0,601318
2580,2018-01-11,69.024,70.579,71.035,68.976,1096288.0,601318
2581,2018-01-12,70.588,72.288,72.376,70.268,1282662.0,601318
2582,2018-01-15,73.202,75.436,76.262,73.202,2006598.0,601318
2583,2018-01-16,75.465,75.591,77.214,74.999,1501643.0,601318
2584,2018-01-17,75.873,75.135,77.087,74.319,1413574.0,601318
2585,2018-01-18,76.32,75.397,77.826,74.882,2074471.0,601318
2586,2018-01-19,76.067,75.378,76.806,74.698,1553809.0,601318
2587,2018-01-22,74.911,76.495,76.942,74.853,1215882.0,601318
2588,2018-01-23,78.01,76.514,78.962,76.058,1919898.0,601318
2589,2018-01-24,76.747,74.26,77.175,74.202,1689141.0,601318
2590,2018-01-25,73.765,73.143,73.823,72.667,1234396.0,601318
2591,2018-01-26,73.153,73.93,74.659,73.066,1125546.0,601318
2592,2018-01-29,74.474,71.268,74.513,70.812,1517843.0,601318
2593,2018-01-30,70.821,71.288,72.24,70.724,867816.0,601318
2594,2018-01-31,70.579,72.939,73.007,70.452,934726.0,601318
2595,2018-02-01,72.862,73.328,73.444,71.939,1415762.0,601318
2596,2018-02-02,72.735,73.843,74.202,72.016,1007583.0,601318
2597,2018-02-05,72.279,73.551,73.784,72.181,948054.0,601318
2598,2018-02-06,71.744,71.667,72.57,70.433,2049666.0,601318
2599,2018-02-07,72.473,69.345,72.521,68.49,1747840.0,601318
2600,2018-02-08,68.597,67.023,69.461,66.421,1530108.0,601318
2601,2018-02-09,64.604,62.593,65.06,60.426,2492029.0,601318
2602,2018-02-12,62.816,63.108,63.778,62.175,1029611.0,601318
2603,2018-02-13,64.312,65.109,66.401,64.176,1147957.0,601318
2604,2018-02-14,65.575,66.926,67.217,65.284,646501.0,601318
2605,2018-02-22,68.228,67.781,68.412,67.256,783649.0,601318
2606,2018-02-23,68.247,68.626,69.422,67.839,556011.0,601318
2607,2018-02-26,68.966,68.781,69.539,67.615,693840.0,601318
2608,2018-02-27,68.995,67.819,69.16,67.489,780994.0,601318
2609,2018-02-28,67.227,65.828,67.266,65.77,782170.0,601318
2610,2018-03-01,65.264,66.965,67.402,64.973,663296.0,601318
2611,2018-03-02,66.061,65.75,66.702,65.527,581439.0,601318
